Column1,FY,Year,WorkCenter,AdminNum,Equipment,Serial,WorkOrder,Type,Priority,ProjectCode,Description,Created.on,Release.date,Comp.Date,Material,Cost,credit,Date,vehicle,month,CBMS,jbpds,rws,majComponent,days
513,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007908949,PM01,1,,Fluid Transfer System,2/11/20,,2/19/20,14818579,0,,Feb-20,122,2,FALSE,FALSE,FALSE,0,
2,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1000860110,PM01,1,,BRAKE LIGHT INOP,10/12/16,,10/12/16,14818579,0,,Oct-16,121,10,FALSE,FALSE,FALSE,0,
3,FY17,17,10019890,71-121,1011279686,NBC-0109-11,1000860389,PM01,2,,BAWS INSTAKE MISSING 2 SILVER MODULES,10/12/16,,10/12/16,14818579,0,,Oct-16,121,10,FALSE,TRUE,FALSE,1,
4,FY17,17,10019890,71-121,1011279686,NBC-0109-11,1000860387,PM01,2,,M88 TUBES BROKEN,10/12/16,,9/13/17,14818579,0,,Oct-16,121,10,FALSE,FALSE,FALSE,0,
5,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1000860109,PM01,3,,SEAL ON DRIVERS HATCH INOP,10/12/16,,5/3/17,14818579,24.95,,Oct-16,111,10,FALSE,FALSE,FALSE,0,
6,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1000860120,PM01,3,,SURVEYOR WORKSTATION LOCKING KNOB M,10/12/16,,7/5/17,14818579,72.1,,Oct-16,121,10,FALSE,FALSE,FALSE,0,
7,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1000860107,PM01,3,,HATCH SPRING D/S INOP,10/12/16,,4/24/17,14818579,263,,Oct-16,111,10,FALSE,FALSE,FALSE,0,
8,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1000861147,PM01,3,,SEAL ON D/S HATCH INOP,10/13/16,,10/13/16,14818579,0,,Oct-16,111,10,FALSE,FALSE,FALSE,0,
9,FY17,17,10019890,71-121,1011279686,NBC-0109-11,1000861047,PM01,3,,FCU DOES NOT DISPLAY NIGHT MODE,10/13/16,,10/13/16,14818579,0,,Oct-16,121,10,FALSE,FALSE,FALSE,0,
506,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007798275,PM01,2,,Vial Calibration inop,1/28/20,,2/19/20,14818579,459,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
11,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1000867901,PM01,1,,FCU IN & OUT OF OPERATION,10/14/16,,10/19/16,14818579,0,,Oct-16,111,10,FALSE,FALSE,FALSE,0,
12,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1000889144,PM01,1,,TIM INOP,10/20/16,,11/2/16,14818579,0,,Oct-16,121,10,FALSE,FALSE,FALSE,0,
13,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1000921143,PM01,2,,NITROGEN NEEDED FOR MAINTENANCE,11/1/16,,11/1/16,14818579,0,,Nov-16,121,11,FALSE,FALSE,FALSE,0,
14,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1000933722,PM01,2,,NITROGEN NEEDED FOR MAINTENANCE,11/3/16,,9/7/17,14818579,0,,Nov-16,111,11,FALSE,FALSE,FALSE,0,
15,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1000933458,PM01,2,,NITROGEN NEEDED FOR MAINTENANCE,11/3/16,,9/13/17,14818579,0,,Nov-16,121,11,FALSE,FALSE,FALSE,0,
16,FY17,17,WH8DAA,71-112,1011279704,NBC-0110-11,1000933456,PM01,2,,NITROGEN NEEDED FOR MAINTENANCE,11/3/16,,9/13/17,14818579,0,,Nov-16,112,11,FALSE,FALSE,FALSE,0,
497,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007757638,PM01,2,,Vial Calibration inop,1/23/20,,1/28/20,14818579,0,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
18,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1000933724,PM01,2,,STRYKER CANOPY MISSING,11/3/16,,5/3/17,14818579,9040.19,,Nov-16,111,11,FALSE,FALSE,FALSE,0,
19,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1000933459,PM01,2,,STRYKER CANOPY MISSING,11/3/16,,5/3/17,14818579,9040.19,,Nov-16,121,11,FALSE,FALSE,FALSE,0,
20,FY17,17,WH8DAA,71-112,1011279704,NBC-0110-11,1000933457,PM01,2,,STRYKER CANOPY MISSING,11/3/16,,5/3/17,14818579,9040.19,,Nov-16,112,11,FALSE,FALSE,FALSE,0,
500,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007757639,PM01,1,,Collector assembly inop,1/23/20,,2/19/20,14818579,0,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
22,FY18,18,WH8DAA,71-121,1011279686,NBC-0109-11,1000939529,PM01,2,,RWS TEST KIT,11/6/16,,1/20/18,14818579,0,,Nov-16,121,11,FALSE,FALSE,TRUE,1,
23,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001302971,PM01,2,,DECK LID MISSING HARDWARE,2/24/17,,4/10/17,14818579,0,,Feb-17,111,2,FALSE,FALSE,FALSE,0,
24,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001453733,PM01,1,,HYDRAULIC LEAK,3/28/17,,4/4/17,14818579,0,,Mar-17,111,3,FALSE,FALSE,FALSE,0,
25,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001487164,PM01,1,,HYDRAULIC LEAK,4/4/17,,6/9/17,14818579,1787,,Apr-17,111,4,FALSE,FALSE,FALSE,0,
26,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001514099,PM01,1,,AFES EXTINGUISHERS AT 0 PSI,4/11/17,,7/28/17,14818579,6391,,Apr-17,121,4,FALSE,FALSE,FALSE,0,
27,FY17,17,WH8DAA,71-112,1011279704,NBC-0110-11,1001514100,PM01,1,,SURVEYOR DOOR BENT,4/11/17,,6/15/17,14818579,30235.71,,Apr-17,112,4,FALSE,FALSE,FALSE,0,
28,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001554649,PM01,2,,DECK LID MISSING HARDWARE,4/17/17,,6/9/17,14818579,24.24,,Apr-17,111,4,FALSE,FALSE,FALSE,0,
29,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001554902,PM01,2,,VC HATCH SPRING BROKEN,4/18/17,,8/24/17,14818579,237,,Apr-17,121,4,FALSE,FALSE,FALSE,0,
501,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007757637,PM01,2,,Vial assembly inop,1/23/20,1/23/20,,14818579,0,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
31,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001567796,PM01,2,,GEAR SELECTOR IS NOT SECURED PROPERLY,4/19/17,,8/16/17,14818579,0,,Apr-17,111,4,FALSE,FALSE,FALSE,0,
491,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007705587,PM01,1,,Thermal imaging moduel inop,1/14/20,,1/14/20,14818579,0,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
33,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001585899,PM01,1,,D/S HATCH SPRING INOP,4/24/17,,6/15/17,14818579,263,,Apr-17,111,4,FALSE,FALSE,FALSE,0,
34,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001632147,PM01,3,,(M) BUTTON ON AFES,5/3/17,,5/3/17,14818579,0,,May-17,111,5,FALSE,FALSE,FALSE,0,
35,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001632144,PM01,3,,MISSING GUIDE WALL BUFFER INSIDE AMMO BX,5/3/17,,5/3/17,14818579,0,,May-17,111,5,FALSE,FALSE,FALSE,0,
36,FY17,17,WH8DAA,71-112,1011279704,NBC-0110-11,1001768632,PM01,1,,FOUND COOLANT IN DRAINPLUG,5/31/17,,8/15/17,14818579,0,,May-17,112,5,FALSE,FALSE,FALSE,0,
37,FY17,17,WH8DAA,71-112,1011279704,NBC-0110-11,1001768631,PM01,1,,CLASS I HUB LEAK 2ND TIRE L/S,5/31/17,,8/15/17,14818579,0,,May-17,112,5,FALSE,FALSE,FALSE,0,
38,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001768623,PM01,1,,CMBS SCREEN FROZEN AT START UP,5/31/17,,8/24/17,14818579,0,,May-17,121,5,FALSE,FALSE,FALSE,0,
39,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001768630,PM01,1,,DRIVER SEAT BELT SECUIRTY LOCK STICKING,5/31/17,,9/12/17,14818579,0,,May-17,121,5,FALSE,FALSE,FALSE,0,
40,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001768628,PM01,1,,UDR-13 DOES NOT RECIEVE POWER FROM DOCK,5/31/17,,9/12/17,14818579,0,,May-17,121,5,FALSE,FALSE,FALSE,0,
41,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001768624,PM01,1,,2ND MIDDLE TIRE TRED LOW ON DRIVER SIDE,5/31/17,,9/12/17,14818579,0,,May-17,121,5,FALSE,FALSE,FALSE,0,
42,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001768625,PM01,1,,2ND MIDDLE AND REAR TIRE TRED LOW ON R/S,5/31/17,,9/12/17,14818579,0,,May-17,121,5,FALSE,FALSE,FALSE,0,
43,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001768626,PM01,2,,FBCB2 OPERATING SYSTEM NOT FOUND,5/31/17,,9/12/17,14818579,0,,May-17,121,5,FALSE,FALSE,FALSE,0,
44,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001768629,PM01,1,,CHEMICAL PROBE HEAD AND MEMBRANE MISSING,5/31/17,,9/12/17,14818579,0,,May-17,121,5,FALSE,FALSE,FALSE,0,
492,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007706550,PM01,1,, Fluid transfer system,1/14/20,,1/22/20,14818579,0,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
494,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007705583,PM01,1,,Chem prob inop,1/14/20,,2/20/20,14818579,13179,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
47,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1001768633,PM01,1,,REAR AIR PSI NOT REACHING MAX,5/31/17,,1/9/18,14818579,286,,May-17,112,5,FALSE,FALSE,FALSE,0,
48,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001842572,PM01,1,,ALTERNATOR INOP,6/9/17,,6/19/17,14818579,0,,Jun-17,111,6,FALSE,FALSE,FALSE,0,
49,FY17,17,WH8DAA,71-121,1011279686,NBC-0109-11,1001872712,PM01,1,,ALTERNATOR INOP,6/15/17,,7/28/17,14818579,0,,Jun-17,121,6,FALSE,FALSE,FALSE,0,
50,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1001952467,PM01,1,,ALTERNATOR OVERCHARGING/W452 CABLE INOP,6/30/17,,7/18/17,14818579,223,,Jun-17,111,6,FALSE,FALSE,FALSE,0,
51,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1001959635,PM01,1,,LEFT ENGINE COVER SUPPORT SPRING BROKEN,7/5/17,,10/21/17,14818579,44.78,,Jul-17,111,7,FALSE,FALSE,FALSE,0,
52,FY18,18,WH8DAA,71-112,1011279704,NBC-0110-11,1001959637,PM01,1,,R/S FIRST TIRE TREAD DEPTH LOW,7/5/17,,2/13/18,14818579,2081,,Jul-17,112,7,FALSE,FALSE,FALSE,0,
496,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007706869,PM01,1,,Thermal imaging system inop,1/14/20,,1/22/20,14818579,49338,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
485,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007694142,PM01,1,,Collector assembly,1/13/20,,1/13/20,14818579,0,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
55,FY17,17,WH8DAA,71-111,1011279664,NBC-0108-11,1002173805,PM01,3,,AMMO BOX MISSING MOUNT SCREW,8/10/17,,9/13/17,14818579,0,,Aug-17,111,8,FALSE,FALSE,FALSE,0,
486,FY20,20,WH8DAA,71-122,1011279723,NBC-0111-11,1007693996,PM01,1,,Fluid transfer system,1/13/20,,1/13/20,14818579,0,,Jan-20,122,1,FALSE,FALSE,FALSE,0,
57,FY18,18,WH8DAA,71-111,1011279664,NBC-0108-11,1002186657,PM01,1,,OVERCHARGING,8/14/17,,10/10/17,14818579,496,,Aug-17,111,8,FALSE,FALSE,FALSE,0,
58,FY17,17,WH8DAA,71-112,1011279704,NBC-0110-11,2001031694,PM02,A,,AFQ-Annual,8/15/17,,8/15/17,14818579,0,,Aug-17,112,8,FALSE,FALSE,FALSE,0,
