UIC12,Receiving SLOC,Issue Storage Loc,Force Element - SLOC,DODAAC,AR DOD Doc Num,PReq No.,PO Document Number,SCMC,PR NIIN,Date on which the AR,Column1,PR Funds Center,AR Funds Center,Fiscal Year,AR Functional area,Turn-In Date,Clearing Date,Total PR Count,Expected Credit,Open PR Count,Open Credit,Closed PR Count, Received Credit 
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00230005,1053348005,7123674435,9Z,15289282,2/4/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/5/20,1,10405,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00230005,1053348005,7123674435,9Z,15289282,2/5/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/5/20,1,-10405,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00230005,1053348005,7123674435,9Z,15289282,2/5/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/11/20,1,10405,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N81500005,1029103692,7115344192,9Z,15330140,6/7/18,CBMS BLOCK,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,5/31/18,6/7/18,1,,0,,1,240499.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00280002,1053208486,7123290127,9Z,15289281,2/4/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/5/20,1,12565,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00280002,1053208486,7123290127,9Z,15289281,2/5/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/5/20,1,-12565,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00280002,1053208486,7123290127,9Z,15289281,2/5/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/11/20,1,12565,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N81500006,1029739579,7115760762,9Z,15330140,6/7/18,cbms block,ARMY/A82BD,ARMY/A82BD,V9/2018,113003WEAD,5/31/18,6/7/18,1,,0,,1,240499.00
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00280004,1053461607,7123713157,9M,15390509,2/4/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/5/20,1,54245,0,,1,
WH8DAAMNT,2001/WHQ1,2000/0BST,WH8DAAMNT,W90E2N,W90E2N00280004,1053461607,7123713157,9M,15390509,2/5/20,,ARMY/A82BD,ARMY/A82BD,V9/2020,113003WHST,2/3/20,2/5/20,1,-54245,0,,1,
