Funds Center,Fund,Status,Document Identifier Code,Order Type,Purchasing Document,DoD Document Number,Storage Location,Short Text,FSC Code,Material,Delivery Date,Supply Category Material Code,MILSTRIP Status,Order Quantity,Order Unit,QTY Open,QTY Received,Requirement Priority,Net Order Price,Gross order value,Fund Code,Rec Code,Issuing Storage Loc.,QTY Intransit,QTY ISSUE (STO),Vendor,Advice Code,ARC,Del Ind,Delivery Completed,Project Code
A82BD,202010D17,Closed,A01,ZLNA,1100002263,W90E2N71290001,0BST,"HORN BUTTON,VEHICLE",2530,014645073,5/10/17,9K,,1,EA,0,1,12,12.70,12.70,J,Z,WHQ1,0,1,PLANT2001,2B,X,,X,
A82BD,202010D18,Closed,A01,ZDO,4528729809,W90E2N82620001,0BST,HANDSET,5965,015496390,9/19/18,9G,BA,20,EA,0,20,2,60.74,"1,214.80",J,Z,,0,0,B16,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108842133,W90E2N62790001,0BST,"HUB,WHEEL,VEHICULAR",2530,200008462,10/5/16,9O,,1,EA,0,1,2,"11,011.00","11,011.00",J,K,WHQ1,0,1,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108915172,W90E2N62860001,0BST,"HOSE ASSEMBLY,NONMETALLIC",4720,123517522,10/12/16,9B,,3,EA,0,3,2,39.27,117.81,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108915173,W90E2N62860002,0BST,"HOSE ASSEMBLY,NONMETALLIC",4720,123517522,10/12/16,9B,,3,EA,0,3,2,39.27,117.81,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108915174,W90E2N62860003,0BST,"ADAPTER,STRAIGHT,TUBE TO BOSS",4730,123312045,10/12/16,9B,,3,EA,0,3,2,3.05,9.15,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108915175,W90E2N62860004,0BST,"ADAPTER,STRAIGHT,TUBE TO BOSS",4730,123312045,10/12/16,9B,,3,EA,0,3,2,3.05,9.15,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108915176,W90E2N62860005,0BST,"NIPPLE,TUBE",4730,121313728,10/12/16,9B,,3,EA,0,3,2,27.17,81.51,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108915177,W90E2N62860006,0BST,"NIPPLE,TUBE",4730,121313728,10/12/16,9B,,3,EA,0,3,2,27.17,81.51,J,Z,WHQ1,0,3,PLANT2001,,X,,X,
A82BD,202010D17,Closed,A01,ZAR,7108939297,W90E2N62870002,0BST,"SPRING,HELICAL,TORSION",5360,200009270,10/14/16,9O,,1,EA,0,1,5,263.00,263.00,J,Z,WHQ1,0,1,PLANT2001,,X,,X,
